ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,"Age (Youth, adults): 15+",2024,57.981,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,"Age (Youth, adults): 15-64",2024,65.912,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,"Age (Youth, adults): 15-24",2024,31.34,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,"Age (Youth, adults): 25+",2024,64.576,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,"Age (Youth, adults): 15+",2024,67.24,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,"Age (Youth, adults): 15-64",2024,73.917,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,"Age (Youth, adults): 15-24",2024,35.037,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,"Age (Youth, adults): 25+",2024,75.964,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,"Age (Youth, adults): 15+",2024,49.467,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,"Age (Youth, adults): 15-64",2024,58.107,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,"Age (Youth, adults): 15-24",2024,27.421,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,"Age (Youth, adults): 25+",2024,54.467,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (Aggregate bands): Total,2024,57.981,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (Aggregate bands): 15-24,2024,31.34,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (Aggregate bands): 25-54,2024,79.478,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (Aggregate bands): 55-64,2024,63.705,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Total,Age (Aggregate bands): 65+,2024,16.274,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (Aggregate bands): Total,2024,67.24,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (Aggregate bands): 15-24,2024,35.037,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (Aggregate bands): 25-54,2024,88.46,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (Aggregate bands): 55-64,2024,78.444,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Male,Age (Aggregate bands): 65+,2024,24.109,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (Aggregate bands): Total,2024,49.467,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (Aggregate bands): 15-24,2024,27.421,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (Aggregate bands): 25-54,2024,70.985,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (Aggregate bands): 55-64,2024,49.387,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,"LFS - Permanent Household Survey, Urban",Employment-to-population ratio by sex and age (%),Female,Age (Aggregate bands): 65+,2024,11.01,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
